"id","text","video_id","category","clean_text","model_prediction","is_correct","actual_pillar","notes"
"5aaaedbf-2084-4e5f-b883-a3923667c667","Minus 35%.  🇬🇧💯🔥","07bf7640-c569-41e5-b6cd-f96db476f396","comedy","Minus 35. :United_Kingdom: :hundred_points: :fire:","NEUTRAL","1",,"neutral (0.998)"
"495119c9-aaa0-4599-b74d-a0b2e2c3baa0","Sometimes I wonder if t<br>James really genius to be able to makes very funny joke and makes it looks like unintentionally, or is he actually stupid.","07bf7640-c569-41e5-b6cd-f96db476f396","comedy","Sometimes I wonder if t James really genius to be able to makes very funny joke and makes it looks like unintentionally, or is he actually stupid.","SURPRISE","1",,"curiosity (0.335)"
"00c00d40-344e-4c3d-b2c1-c6d0b842075c","I love James","07bf7640-c569-41e5-b6cd-f96db476f396","comedy","I love James","JOY","1",,"love (0.993)"
"aef109fb-c2fe-46d0-828b-b2ac2f02bdb9","Is this supposed to be funny?","07bf7640-c569-41e5-b6cd-f96db476f396","comedy","Is this supposed to be funny?","SURPRISE","0","ANGER","curiosity (0.511)"
"ed6f7a73-c9b9-4927-b303-e7c1097e43c1","James Acaster is as funny as a sucking chest wound.","07bf7640-c569-41e5-b6cd-f96db476f396","comedy","James Acaster is as funny as a sucking chest wound.","JOY","0","ANGER","amusement (0.956)"
"b06152c1-1b14-44b6-8d9e-c831e852123f","it takes courage to even think about a dance off challenge against Shakira","1ffd29cc-5c99-44d1-942f-51c28701be23","comedy","it takes courage to even think about a dance off challenge against Shakira","NEUTRAL","1",,"neutral (0.519)"
"74e4403f-b06b-47e3-9b74-81c3f5f13288","Jimmy are you serious 😂😂","1ffd29cc-5c99-44d1-942f-51c28701be23","comedy","Jimmy are you serious :face_with_tears_of_joy: :face_with_tears_of_joy:","JOY","1",,"joy (0.411)"
"f3f880a1-e9a0-45f8-88d1-bf2d21b0dad9","SIMPLY SAID SHE HAS FINESSE HE DOES NOT","1ffd29cc-5c99-44d1-942f-51c28701be23","comedy","SIMPLY SAID SHE HAS FINESSE HE DOES NOT","NEUTRAL","0","SURPRISE","neutral (0.997)"
"e7df7b77-999c-47ef-a68f-fe5e938f464b","Childish comedy","1ffd29cc-5c99-44d1-942f-51c28701be23","comedy","Childish comedy","JOY","1",,"amusement (0.567)"
"e16e6957-20af-4b6f-bdbf-e06f26c1f6bf","😂❤ say no to Columbia house","44478887-f41e-433f-b3da-91bf9fef286e","comedy",":face_with_tears_of_joy: :red_heart: say no to Columbia house","NEUTRAL","0","JOY","neutral (0.843)"
"5bcdddb1-4ce0-4139-aa4c-0954ef54d34d","Dwight is such a great actor","44478887-f41e-433f-b3da-91bf9fef286e","comedy","Dwight is such a great actor","JOY","1",,"admiration (0.991)"
"58613e1f-3078-4089-84f5-96129fec155b","Michael: No more knock-knock jokes, that&#39;s it! 😡<br><br>Jim: Ding-Dong<br><br>Michael: Who&#39;s there??? 😱😃😃😃","44478887-f41e-433f-b3da-91bf9fef286e","comedy","Michael: No more knockknock jokes, that's it! :enraged_face: Jim: DingDong Michael: Who's there??? :face_screaming_in_fear: :grinning_face_with_big_eyes: :grinning_face_with_big_eyes: :grinning_face_with_big_eyes:","NEUTRAL","1",,"neutral (0.968)"
"20cced4a-abe7-4760-82f8-c09100f5e6cb","Lmfao “Dwight get the door” while grinning because he actually caught on quick this time w the joke 😂","44478887-f41e-433f-b3da-91bf9fef286e","comedy","Lmfao Dwight get the door while grinning because he actually caught on quick this time w the joke :face_with_tears_of_joy:","JOY","1",,"amusement (0.445)"
"75ada10c-e17f-49a7-a02c-9a42713de88a","Help","4d54bb77-5f74-494a-b3e3-4f7271dd77dd","comedy","Help","NEUTRAL","0","JOY","neutral (0.626)"
"d613ed32-1fd1-4c54-ae44-bf222b98cd30","মিস্টার best বাংলাদেশে আসুন","4d54bb77-5f74-494a-b3e3-4f7271dd77dd","comedy","best","JOY","1",,"admiration (0.983)"
"1c550d2e-52ce-4080-a4df-37ffdb904c9b","If @ mrbeast reply to my chat I would accept any dear which he will give yo me","4d54bb77-5f74-494a-b3e3-4f7271dd77dd","comedy","If mrbeast reply to my chat I would accept any dear which he will give yo me","NEUTRAL","1",,"neutral (0.545)"
"5a11f7b2-9c1e-454e-b745-afa0fa188a85","Michael doesn&#39;t even need to say anything. He can act with his face","57d791e3-0908-48f6-9761-9d40baacb85d","comedy","Michael doesn't even need to say anything. He can act with his face","NEUTRAL","1",,"neutral (0.989)"
"abd7fdbe-77ca-408e-b30d-4b92919017c4","Defcon 5: which means peace time, everything&#39;s good, nothing pressing.","57d791e3-0908-48f6-9761-9d40baacb85d","comedy","Defcon 5: which means peace time, everything's good, nothing pressing.","NEUTRAL","1",,"neutral (0.367)"
"e7321aad-9322-4fc6-82b2-04287b584d77","ACTIIIIIING!","57d791e3-0908-48f6-9761-9d40baacb85d","comedy","ACTIIIIIING!","NEUTRAL","0","JOY","neutral (0.995)"
"29892dd8-e5cb-4280-9348-5caaaae98fa9","this has to be the best tv show comedy ever 😂","57d791e3-0908-48f6-9761-9d40baacb85d","comedy","this has to be the best tv show comedy ever :face_with_tears_of_joy:","JOY","1",,"admiration (0.809)"
"80665ce8-a4c7-4ffe-80ea-1080a51521bb","Michael Scott has a lot of Donald Trump&#39;s communication habits and I love it.","57d791e3-0908-48f6-9761-9d40baacb85d","comedy","Michael Scott has a lot of Donald Trump's communication habits and I love it.","JOY","1",,"love (0.92)"
"2c8b1974-f21c-4734-a114-c188f9015bcb","the peeboard","8a4b90ed-a32e-4ffa-8aab-6e356bd1b71f","comedy","the peeboard","NEUTRAL","1",,"neutral (0.998)"
"8ff45aca-f58f-48e1-a77b-4299e97e0ca7","Missed chance, he could&#39;ve called it the Peyboard","8a4b90ed-a32e-4ffa-8aab-6e356bd1b71f","comedy","Missed chance, he could've called it the Peyboard","NEUTRAL","1",,"neutral (0.651)"
