"id","text","video_id","category","clean_text","model_prediction","is_correct","actual_pillar","notes"
"98d9801f-708e-4b0b-9994-bed62ea5234d","I hate the internet. I thought this was a cake","ac8f6eee-7cb9-4ec9-93ba-ecef1667a4f5","comedy","I hate the internet. I thought this was a cake","ANGER","1",,"anger (0.852)"
"ee6a26da-bfda-4809-b6ed-59b676699ecc","why would you wake it, you evil creature! let it sleep 😭😭😭","8b4ffb76-6d6f-4f95-87bf-7885fa56d928","comedy","why would you wake it, you evil creature! let it sleep :loudly_crying_face: :loudly_crying_face: :loudly_crying_face:","ANGER","1",,"anger (0.742)"
"b29b5791-dfb6-4a62-adbd-ed7e558ae049","“It’s not drugs”.  People have such odd ideas","51cca09b-a5fe-4d59-91ee-13935e299379","education","It's not drugs. People have such odd ideas","ANGER","1",,"annoyance (0.361)"
"365b4f07-4572-43c4-8037-98e61fa55f99","Space is worse than Chernobyl 🤯","fd587fbe-6bd2-4317-805a-e5243dec52d2","education","Space is worse than Chernobyl :exploding_head:","ANGER","1",,"disgust (0.716)"
"366e57df-4363-42fb-bf80-cfc5da364cc6","And yet we are still killing everything!! X","4f8571fd-4090-4eb9-8297-c68aad0382ec","education","And yet we are still killing everything!! X","ANGER","1",,"anger (0.523)"
"e5e2b463-3670-4b2e-a256-925853983ea4","What is vastly overrated is the accuracy of non-experts on topics outside of their expertise. Statistically they are absolutely stupendously wrong. So, experts still come off better.","e259289c-fc11-4361-a427-ec580a473494","education","What is vastly overrated is the accuracy of nonexperts on topics outside of their expertise. Statistically they are absolutely stupendously wrong. So, experts still come off better.","ANGER","1",,"disapproval (0.458)"
"a085e369-40b0-4d42-8184-5dc2ede704a6","They're also a goddam plague.  My tiny balcony must have at least 50000 of the (insert bad word here) killing every single one… Vezi mai mult","f3428731-a6a3-48ec-94f6-a6e2ad70301e","education","They're also a goddam plague. My tiny balcony must have at least 50000 of the insert bad word here killing every single one Vezi mai mult","ANGER","1",,"annoyance (0.454)"
"b7aeb57e-5f73-4eed-80ea-357ec47aaf38","That is not the peace Christ gives. The peace Christ gives is divine, and it is not like the world gives nor like what yourself gives.","4d43681f-eda5-4cbf-9840-44065badc634","gaming","That is not the peace Christ gives. The peace Christ gives is divine, and it is not like the world gives nor like what yourself gives.","ANGER","1",,"disapproval (0.79)"
"6f439176-e876-4468-a9a6-65d324f2415a","Nah not for me","f70a5e75-1a74-4185-ad7b-3873f9a00bdc","gaming","Nah not for me","ANGER","1",,"disapproval (0.731)"
"479fda9e-f3e9-45c9-b7ae-c6fcfcd8b8aa","Did y’all forget this motherfucker got his head chopped off in one movie by Jamie Lee Curtis.","9e879421-08e2-47ab-bd13-a938b24e8f95","gaming","Did y'all forget this motherfucker got his head chopped off in one movie by Jamie Lee Curtis.","ANGER","1",,"annoyance (0.418)"
"ec7e12e5-2fef-423f-9cd9-a5d53c2aac90","I don’t believe it, he’s talking total shite, it dried glue by the looks of it!","50b6e4fc-17aa-46cc-bd01-58e6505afbdf","gaming","I don't believe it, he's talking total shite, it dried glue by the looks of it!","ANGER","1",,"annoyance (0.403)"
"25638a90-8a85-4fb5-ac99-49ac610049ca","It's not so impressive not that we know B was blind.","95a840d2-c7dc-42de-b969-a2d867f58f8c","sport","It's not so impressive not that we know B was blind.","ANGER","1",,"disapproval (0.605)"
"ececb91e-d3b2-4e6c-bc83-08c73a67b5fe","Worst customer service!","b49b3626-44d5-476f-bd6c-45f114d8a654","tech","Worst customer service!","ANGER","1",,"anger (0.415)"
